Response,Round,Variable,Delta,Kept
GroupSize,1,AnnualDensity,-201.9764969,0
,1,MCPArea,-0.640505223,0
,1,HRA,-9.356688217,0
,1,EarlyDistance,-27.77188798,0
,1,**UberDistance**,-268.355149,1
,2,**AnnualDensity**,-125.6665254,1
,2,MCPArea,5.164910666,0
,2,HRA,2.970204835,0
,3,MCPArea,-4.412148591,0
,3,**HRA**,-24.19918447,1
Degree,1,AnnualDensity,-251.0962886,0
,1,MCPArea,-214.8003677,0
,1,HRA,-174.8147928,0
,1,EarlyDistance,-40.99651719,0
,1,**UberDistance**,-418.5366425,1
,2,AnnualDensity,-116.6045841,0
,2,**MCPArea**,-154.2037458,1
,2,HRA,-107.2379708,0
,3,**AnnualDensity**,-253.913615,1
Strength,1,**AnnualDensity**,-344.6088557,1
,1,MCPArea,4.279950955,0
,1,HRA,4.706896119,0
,1,EarlyDistance,-36.93468029,0
,1,UberDistance,-195.7895017,0
,2,MCPArea,-21.88765674,0
,2,HRA,-42.90623261,0
,2,EarlyDistance,-0.741605346,0
,2,**UberDistance**,-98.22320714,1
,3,MCPArea,-5.960830067,0
,3,**HRA**,-15.81132741,1
